2a,6/22
2b,11/12
3a,6/8
3b,7/7
4a,5/6
4b,2/5
5a,3/7
5b,3/5
6a,1/4
6b,3/6
7a,3/6
7b,4/4
8a,2/2
8b,4/9
9a,3/5
9b,2/3
10a,6/8
10b,5/6
11a,2/4
11b,6/7
12a,4/4
12b,2/2
13a,2/3
13b,6/8
14a,5/9
14b,2/4
15b,2/2
16a,1/1
16b,1/3
17a,5/10
17b,7/9
18a,3/3
18b,2/3
19a,9/10
19b,2/3
20a,7/8
20b,7/12
21a,7/8
21b,3/4
22a,4/6
22b,6/8
23a,8/11
23b,6/8
24a,6/8
24b,2/2
26a,5/8
26b,5/5
27a,2/15
27b,7/9
28a,7/9
28b,7/8
29a,5/7
29b,8/11
30a,6/11
30b,4/6
31a,1/7
32a,4/8
32b,2/4
33a,4/5
33b,7/8
34a,7/9
34b,7/8
35a,5/5
35b,7/20
36a,8/11
36b,8/9
37a,5/5
37b,7/17
38a,7/7
38b,5/5
39a,5/5
39b,2/2
40a,1/5
40b,3/4
41a,5/6
41b,6/7
42a,5/6
42b,5/5
43a,9/10
43b,10/10
44a,5/7
44b,3/3
45a,5/6
45b,10/27
46a,1/1
46b,2/2
47a,3/5
47b,2/10
48a,6/6
48b,3/6
49a,4/5
49b,8/8
50a,3/6
50b,8/9
51a,9/19
51b,2/7
52a,3/3
52b,11/16
53a,9/10
53b,8/11
54a,4/5
54b,6/31
55a,5/7
55b,6/26
56a,1/2
58a,1/3
58b,4/5
59a,3/4
59b,6/6
60a,5/5
60b,4/4
61a,8/9
61b,3/3
62a,3/4
62b,3/3
63a,3/3
63b,7/12
64a,11/15
64b,9/13
65a,6/6
65b,2/2
66a,4/4
66b,5/5
67a,1/1
67b,4/5
70b,3/3
71a,4/5
71b,1/2
72a,1/6
73a,2/2
73b,4/5
74a,2/2
74b,3/4
75a,4/20
75b,6/9
76a,2/6
76b,10/13
77a,11/21
77b,3/5
78a,4/7
78b,6/8
79a,3/6
79b,8/9
80a,4/6
80b,2/3
81a,5/12
82a,8/22
82b,5/10
83a,0/1
83b,3/6
84a,5/5
84b,6/7
85a,4/6
85b,3/4
86a,2/3
86b,3/4
87a,3/5
87b,2/7
88a,1/2
88b,6/13
89a,6/8
89b,5/10
90a,7/22
90b,1/2
